,N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
82,83,삼성카드,"34,250",400,-1.15%,"5,000","39,682","115,859",8.02,"154,624",8.66,5.69,
92,93,동서,"34,600",600,-1.70%,500,"34,496","99,700",3.28,"213,719",31.92,8.61,
135,136,하이트진로,"34,800",500,-1.42%,"5,000","24,406","70,134",4.67,"482,316",34.83,8.23,
144,145,휠라홀딩스,"37,100",450,-1.20%,"1,000","22,539","60,752",47.99,"323,994",9.35,10.94,
87,88,두산밥캣,"38,050",400,-1.04%,500,"38,145","100,249",25.94,"142,610",10.01,6.15,
19,20,신한지주,"38,250",350,-0.91%,"5,000","197,599","516,600",60.87,"1,488,053",4.95,8.2,
183,184,롯데렌탈,"38,550",500,-1.28%,"5,000","14,122","36,634",1.1,"77,701",19.68,6.73,
64,65,KODEX 200,"38,825",635,-1.61%,0,"53,734","138,400",1.46,"3,408,700",,,
149,150,TIGER 200,"38,885",605,-1.53%,0,"20,920","53,800",0.0,"570,595",,,
60,61,CJ제일제당,"380,000","6,500",-1.68%,"5,000","57,206","15,054",23.79,"69,370",13.25,13.5,
113,114,LG화학우,"383,500","9,000",-2.29%,"5,000","29,487","7,689",70.58,"12,724",10.33,,
178,179,F&F홀딩스,"39,000",350,-0.89%,500,"15,255","39,114",1.0,"124,845",0.29,16.59,
103,104,메리츠증권,"4,660",80,-1.69%,"1,000","31,769","681,731",14.21,"1,182,463",4.97,13.08,
47,48,한화솔루션,"40,850",650,-1.57%,"5,000","78,137","191,278",19.31,"1,164,976",10.13,5.3,
2,3,NAVER,"407,000","6,000",-1.45%,100,"668,552","164,263",56.67,"466,136",4.05,15.22,
91,92,GS건설,"41,350",100,+0.24%,"5,000","35,388","85,581",26.03,"419,114",10.91,7.68,
66,67,한국타이어앤테크놀로지,"41,350",500,-1.19%,500,"51,222","123,875",41.82,"336,375",8.3,5.12,
156,157,한전KPS,"41,850",400,-0.95%,200,"18,832","45,000",7.39,"201,582",19.28,8.23,
198,199,코스모신소재,"42,050",800,-1.87%,"1,000","12,652","30,087",6.22,"591,486",66.64,7.16,
84,85,GS,"42,250",450,-1.05%,"5,000","39,257","92,915",19.36,"190,353",4.81,-2.82,
80,81,한국가스공사,"44,300",900,-1.99%,"5,000","40,895","92,313",9.92,"409,954",16.23,-2.24,
58,59,현대제철,"44,450",150,-0.34%,"5,000","59,317","133,446",20.9,"614,464",24.56,-2.59,
151,152,영원무역,"44,650","1,000",-2.19%,500,"19,785","44,311",27.21,"117,505",10.56,8.03,
142,143,한화에어로스페이스,"45,000",350,-0.77%,"5,000","22,784","50,630",17.68,"310,284",8.7,4.78,
27,28,하나금융지주,"45,000",350,-0.77%,"5,000","135,109","300,242",68.29,"1,000,605",4.44,8.96,
194,195,PI첨단소재,"45,200","2,300",-4.84%,500,"13,274","29,366",17.24,"379,800",24.31,15.62,
186,187,아이에스동서,"45,200",700,-1.53%,500,"13,963","30,893",4.55,"61,444",12.89,10.92,
71,72,에스디바이오센서,"45,800",350,-0.76%,500,"47,298","103,271",3.25,"251,028",6.94,139.97,
15,16,크래프톤,"469,500","5,500",-1.16%,100,"229,851","48,957",6.29,"126,205",40.42,61.86,
76,77,삼성증권,"47,350",400,-0.84%,"5,000","42,284","89,300",30.19,"252,225",4.63,9.89,
152,153,현대엘리베이,"48,250",50,-0.10%,"5,000","19,693","40,815",26.75,"136,356",20.44,9.78,
160,161,오뚜기,"481,000","4,000",-0.82%,"5,000","17,662","3,672",12.54,"3,313",20.12,7.93,
79,80,아모레G,"49,600","1,000",-1.98%,500,"40,899","82,458",16.46,"164,439",31.59,0.31,
177,178,금호타이어,"5,350",130,-2.37%,"5,000","15,368","287,260",4.15,"315,523",72.3,-6.74,
